p;iter;time;L^2 error;J error
2;1;0.047715;8.29531e-17;4.8609e-29
4;11;0.308018;0.000164467;0.0127828
8;28;0.820585;0.000243238;0.00390027
16;55;1.6015;0.000585337;0.0026723
32;98;2.83561;0.00107797;0.00268216
64;155;4.44423;0.00164001;0.00330732
128;225;6.46571;0.00213522;0.00482013
256;316;9.44809;0.00248899;0.00950873
512;462;14.1099;0.00270463;0.0410832
1024;975;31.5547;0.00281999;1.26885
2048;2911;87.6104;0.00287888;2625.01
