p iter time L^2 error J error
2.1 13 0.146011 0.143299 0.0648308
4 21 0.227097 0.00239585 0.00306885
10 172 1.9144 0.00269317 0.00412956
20 357 3.90368 0.00284332 0.00456297
100 553 5.72687 0.00332519 0.00532224
1000 848 9.47692 0.00403911 0.00623923
2000 1004 11.1833 0.00415515 0.00640533
