p;iter;time;L^2 error;J error
2;1;0.041267;8.29531e-17;4.8609e-29
4;3;0.097097;0.000284222;0.012797
8;9;0.297571;0.000281366;0.0039105
16;17;0.512129;0.000493212;0.00267819
32;40;1.37004;0.00100407;0.00268956
64;69;2.23163;0.00161342;0.00331074
128;127;4.1593;0.0021398;0.0048207
256;180;6.05297;0.00248608;0.0095094
512;313;12.3;0.00270466;0.0410833
1024;614;21.9107;0.00281999;1.26885
2048;2404;74.2436;0.00287888;2625.01
