p;iter;time;L^2 error;J error
2;1;0.046961;8.29531e-17;4.8609e-29
4;11;0.310451;0.000164467;0.0127828
10;34;0.996995;0.000335989;0.00325411
20;66;1.905;0.000730169;0.00259588
100;203;6.05885;0.00197348;0.00411971
1000;970;31.2419;0.00281718;1.07007
2000;2853;86.346;0.00287746;1817.41
